excluded,k,estimate,se,ci_lower,ci_upper,p_value,I2,comparison
1,277,-0.5215929917127555,0.06629059314075324,-0.6515225542686318,-0.3916634291568792,3.552713678800501e-15,98.39972809417816,Strong Synergy
1,277,-0.5196971145375516,0.0661396976458954,-0.6493309219235066,-0.39006330715159665,3.9968028886505635e-15,98.39269714163679,Strong Synergy
1,277,-0.5214177702785744,0.06627694867031111,-0.6513205896723842,-0.3915149508847646,3.552713678800501e-15,98.39909652943398,Strong Synergy
1,277,-0.5183159544840942,0.06602896015486694,-0.6477327163876334,-0.388899192580555,4.218847493575595e-15,98.38747918943648,Strong Synergy
1,277,-0.5240629143093384,0.06646646106410509,-0.6543371779949844,-0.3937886506236924,3.1086244689504383e-15,98.40777091555849,Strong Synergy
1,277,-0.5259325201644928,0.0665640175723188,-0.6563979946062376,-0.39546704572274793,2.6645352591003757e-15,98.4120994448417,Strong Synergy
1,277,-0.5250124186983043,0.0665211204727174,-0.6553938148248304,-0.3946310225717782,2.886579864025407e-15,98.41021679345735,Strong Synergy
1,277,-0.5266990198757177,0.06659078486974476,-0.6572169582204174,-0.39618108153101794,2.6645352591003757e-15,98.41323897734715,Strong Synergy
1,277,-0.5270159375660611,0.06659921555404798,-0.6575504000519952,-0.3964814750801271,2.4424906541753444e-15,98.41358497883598,Strong Synergy
1,277,-0.5282157783541389,0.0666159140463489,-0.6587829698849827,-0.39764858682329507,2.220446049250313e-15,98.41417706204109,Strong Synergy
1,277,-0.522040991173161,0.06632498959935677,-0.6520379707879003,-0.3920440115584218,3.552713678800501e-15,98.40131605672158,Strong Synergy
1,277,-0.5222170816776549,0.0663382855294808,-0.6522401213154373,-0.3921940420398725,3.552713678800501e-15,98.40192820767577,Strong Synergy
1,277,-0.5221949126281945,0.06633661933647192,-0.6522146865276794,-0.39217513872870957,3.552713678800501e-15,98.40185154863296,Strong Synergy
1,277,-0.5232775695620101,0.06641484484445964,-0.653450665457151,-0.3931044736668692,3.3306690738754696e-15,98.4054324318348,Strong Synergy
3,277,-0.5337045784719788,0.06644031818215669,-0.6639276021090059,-0.40348155483495174,8.881784197001252e-16,98.41080648399922,Strong Synergy
3,277,-0.5311700411011958,0.06648931999315084,-0.6614891082877714,-0.40085097391462016,1.3322676295501878e-15,98.41319963582504,Strong Synergy
3,277,-0.5299481741747556,0.06650221799662992,-0.6602925214481502,-0.399603826901361,1.5543122344752192e-15,98.41385556021721,Strong Synergy
3,277,-0.5288973536227161,0.06650720892229967,-0.6592514831104234,-0.39854322413500876,1.7763568394002505e-15,98.41413529422393,Strong Synergy
3,277,-0.5377643855432354,0.06632048902195432,-0.6677525440262658,-0.4077762270602049,4.440892098500626e-16,98.4050739817586,Strong Synergy
3,277,-0.5334380205402421,0.06644671276248605,-0.6636735775547148,-0.4032024635257695,8.881784197001252e-16,98.41111556830641,Strong Synergy
6,277,-0.5427347786387292,0.06536400293284719,-0.6708482243871097,-0.41462133289034875,0.0,98.35193324060498,Strong Synergy
6,277,-0.5390653817194627,0.06577984282249416,-0.6679938736515513,-0.41013688978737417,2.220446049250313e-16,98.3725553727007,Strong Synergy
6,277,-0.5363516821771976,0.06607713275167114,-0.6658628623704731,-0.4068405019839222,4.440892098500626e-16,98.3867324350581,Strong Synergy
6,277,-0.5395589875320275,0.06567133962073876,-0.6682748131886754,-0.4108431618753795,2.220446049250313e-16,98.36660305650172,Strong Synergy
6,277,-0.5323557479480694,0.0664748876290155,-0.6626465277009398,-0.402064968195199,1.1102230246251565e-15,98.40935134674392,Strong Synergy
6,277,-0.5328693375596282,0.06644988042289825,-0.6631111031885087,-0.4026275719307476,1.1102230246251565e-15,98.40818403181777,Strong Synergy
6,277,-0.5324173258536341,0.06647198315999868,-0.6627024128472315,-0.4021322388600367,1.1102230246251565e-15,98.40926536074285,Strong Synergy
6,277,-0.5327952699929397,0.06645344826175742,-0.6630440285859842,-0.40254651139989517,1.1102230246251565e-15,98.40830068986057,Strong Synergy
8,277,-0.5313812316750344,0.06651257511729843,-0.6617458789049393,-0.40101658444512944,1.3322676295501878e-15,98.4115149096737,Strong Synergy
8,277,-0.5312875344119279,0.06668231460659263,-0.6619848710408495,-0.4005901977830063,1.5543122344752192e-15,98.39990544736685,Strong Synergy
8,277,-0.5294674719689895,0.06655673892267432,-0.6599186802574311,-0.3990162636805478,1.7763568394002505e-15,98.41377536613814,Strong Synergy
8,277,-0.5297282773001954,0.06653510974312554,-0.6601370923967215,-0.39931946220366943,1.7763568394002505e-15,98.41371990269666,Strong Synergy
10,277,-0.5424501525741968,0.06612375182048201,-0.6720527061423416,-0.41284759900605206,2.220446049250313e-16,98.39529424066221,Strong Synergy
10,277,-0.5384889945287078,0.06625666039704804,-0.6683520489069219,-0.40862594015049364,4.440892098500626e-16,98.40142016809726,Strong Synergy
10,277,-0.5493486024282574,0.0659768950207755,-0.6786633166689774,-0.4200338881875375,0.0,98.38876665293336,Strong Synergy
10,277,-0.53109188421525,0.06648698170881243,-0.6614063683645224,-0.4007774000659776,1.3322676295501878e-15,98.4133642102598,Strong Synergy
10,277,-0.5305897056978454,0.06649223641215334,-0.6609144890656659,-0.40026492233002486,1.5543122344752192e-15,98.4136319890812,Strong Synergy
10,277,-0.5308535237472035,0.06648962549579879,-0.6611731897189691,-0.40053385777543793,1.3322676295501878e-15,98.41349765279179,Strong Synergy
15,277,-0.5229238487593137,0.06644482982387699,-0.6531557152141126,-0.39269198230451485,3.552713678800501e-15,98.41180548775309,Strong Synergy
15,277,-0.5287207707909375,0.06650488834424285,-0.6590703519456534,-0.39837118963622153,1.7763568394002505e-15,98.41415791526266,Strong Synergy
16,277,-0.5307189466461006,0.06654264478723033,-0.6611425304290721,-0.40029536286312917,1.5543122344752192e-15,98.41223565213268,Strong Synergy
16,277,-0.5320518766409608,0.06648999211265882,-0.6623722611817721,-0.40173149210014947,1.3322676295501878e-15,98.40968004625343,Strong Synergy
23,277,-0.5175511515432649,0.06574013971762234,-0.6464018253898047,-0.3887004776967251,3.552713678800501e-15,98.37102336496834,Strong Synergy
23,277,-0.517275910266045,0.06564825912677132,-0.6459464981545168,-0.3886053223775733,3.3306690738754696e-15,98.36592286948299,Strong Synergy
23,277,-0.5175269452824296,0.06573188281673424,-0.6463614356032287,-0.3886924549616305,3.552713678800501e-15,98.37056289617311,Strong Synergy
23,277,-0.5318842466736918,0.0664969482477396,-0.6622182652392614,-0.40155022810812224,1.3322676295501878e-15,98.41017737682031,Strong Synergy
23,277,-0.5309215122830753,0.06653802103324628,-0.661336033508238,-0.40050699105791254,1.5543122344752192e-15,98.41183702653053,Strong Synergy
23,277,-0.5315240361940877,0.06651362861891233,-0.6618907482871559,-0.40115732410101956,1.3322676295501878e-15,98.41078059951586,Strong Synergy
23,277,-0.5302136674127876,0.06655629782869342,-0.6606640111570268,-0.3997633236685485,1.5543122344752192e-15,98.41295057636263,Strong Synergy
23,277,-0.5306480096496078,0.06654337035859544,-0.6610730155524549,-0.40022300374676073,1.5543122344752192e-15,98.41238229896264,Strong Synergy
23,277,-0.5296950715889313,0.06656921999798972,-0.6601707427849911,-0.3992194003928714,1.7763568394002505e-15,98.41349497236557,Strong Synergy
24,277,-0.5303286452437949,0.06647192785229776,-0.6606136238342984,-0.4000436666532913,1.5543122344752192e-15,98.41398504374474,Strong Synergy
24,277,-0.5303575927501805,0.06647182270243333,-0.6606423652469497,-0.4000728202534111,1.5543122344752192e-15,98.4139792289942,Strong Synergy
38,277,-0.5308614402041361,0.06647274426800259,-0.6611480189694211,-0.400574861438851,1.3322676295501878e-15,98.4138238351103,Strong Synergy
38,277,-0.529465026451849,0.06647777388331255,-0.6597614632631417,-0.3991685896405564,1.5543122344752192e-15,98.41411003945727,Strong Synergy
